2026-03-18 14:14:21.066 | INFO     | session=a45a30a1 | mod=test         | Logger test OK
2026-03-18 14:19:57.409 | INFO     | session=cced4d52 | mod=execution    | MOTION_DONE  action=lift elapsed=51ms
2026-03-18 14:19:57.409 | INFO     | session=cced4d52 | mod=arm          | [Arm] → deliver (via reset_pose)
2026-03-18 14:19:57.409 | INFO     | session=cced4d52 | mod=execution    | MOTION_START action=deliver pose=(0.0,32.6,-129.1) id=INS-031
2026-03-18 14:19:57.409 | INFO     | session=cced4d52 | mod=arm          | [MOCK] executePath 2 points
2026-03-18 14:19:57.459 | INFO     | session=cced4d52 | mod=execution    | MOTION_DONE  action=deliver elapsed=51ms
2026-03-18 14:19:57.460 | INFO     | session=cced4d52 | mod=arm          | [Arm] Waiting for handover  timeout=60s ...
2026-03-18 14:19:57.460 | INFO     | session=cced4d52 | mod=arm          | [MOCK] startForceDetection
2026-03-18 14:20:57.486 | INFO     | session=cced4d52 | mod=arm          | [MOCK] stopForceDetection
2026-03-18 14:20:57.487 | WARNING  | session=cced4d52 | mod=arm          | [Arm] Handover timeout (60s) — forcing gripper open
2026-03-18 14:20:57.487 | INFO     | session=cced4d52 | mod=arm          | [MOCK] open_gripper preset=3
2026-03-18 14:20:57.987 | INFO     | session=cced4d52 | mod=arm          | [Arm] → reset pose
2026-03-18 14:20:57.988 | INFO     | session=cced4d52 | mod=execution    | MOTION_START action=reset pose=(0.0,32.6,-129.1) id=INS-031
2026-03-18 14:20:57.988 | INFO     | session=cced4d52 | mod=arm          | [MOCK] executePath 1 points
2026-03-18 14:20:58.039 | INFO     | session=cced4d52 | mod=execution    | MOTION_DONE  action=reset elapsed=51ms
2026-03-18 14:20:58.039 | INFO     | session=cced4d52 | mod=arm          | [Arm] === pick_and_deliver END  gripped=True taken=False  61385ms ===
2026-03-18 14:20:58.039 | INFO     | session=cced4d52 | mod=arm          | [Arm] Shutting down ...
2026-03-18 14:20:58.039 | INFO     | session=cced4d52 | mod=arm          | [Arm] → reset pose
2026-03-18 14:20:58.040 | INFO     | session=cced4d52 | mod=execution    | MOTION_START action=reset pose=(0.0,32.6,-129.1) id=INS-031
2026-03-18 14:20:58.040 | INFO     | session=cced4d52 | mod=arm          | [MOCK] executePath 1 points
2026-03-18 14:20:58.091 | INFO     | session=cced4d52 | mod=execution    | MOTION_DONE  action=reset elapsed=52ms
2026-03-18 14:20:58.092 | INFO     | session=cced4d52 | mod=arm          | [MOCK] shutdown
2026-03-18 14:20:58.092 | INFO     | session=cced4d52 | mod=arm          | [Arm] Shutdown complete
